OrderID,Date,Region,Category,Sales,Profit
1001,2025-01-01,North,Electronics,12000,3000
1002,2025-01-02,South,Furniture,8000,1200
1003,2025-01-03,East,Clothing,5000,1000
1004,2025-01-04,West,Electronics,15000,4000
1005,2025-01-05,North,Furniture,7000,900
1006,2025-01-06,South,Clothing,6000,1500
1007,2025-01-07,East,Electronics,17000,4500
1008,2025-01-08,West,Furniture,9000,1400
1009,2025-01-09,North,Clothing,5500,1300
1010,2025-01-10,South,Electronics,14000,3500
1011,2025-01-11,East,Furniture,8500,1200
1012,2025-01-12,West,Clothing,6200,1400
1013,2025-01-13,North,Electronics,18000,5000
1014,2025-01-14,South,Furniture,7500,1000
1015,2025-01-15,East,Clothing,5800,1300
1016,2025-01-16,West,Electronics,16000,4200
1017,2025-01-17,North,Furniture,9200,1500
1018,2025-01-18,South,Clothing,6700,1600
1019,2025-01-19,East,Electronics,19500,5500
1020,2025-01-20,West,Furniture,10000,1800
1021,2025-01-21,North,Clothing,6100,1400
1022,2025-01-22,South,Electronics,15500,3900
1023,2025-01-23,East,Furniture,8700,1250
1024,2025-01-24,West,Clothing,6400,1450
1025,2025-01-25,North,Electronics,20000,6000
1026,2025-01-26,South,Furniture,8200,1150
1027,2025-01-27,East,Clothing,5900,1350
1028,2025-01-28,West,Electronics,17500,4700
1029,2025-01-29,North,Furniture,9500,1700
1030,2025-01-30,South,Clothing,7000,1800
